interaction,ligand,receptor,ligand_means,ligand_props,receptor_means,receptor_props,morans,morans_pvals,mean,std
WNT7A^FZD3_LRP6,WNT7A,FZD3_LRP6,0.05768167,0.08286666666666667,0.06335347,0.1047,0.005277529,0.0,0.010767833,0.40364984
EFNB1^EPHB2,EFNB1,EPHB2,0.14746608,0.19625,0.07523986,0.10683333333333334,0.005180292,0.0,0.01051664,0.36870947
FADD^TRADD,FADD,TRADD,0.12657057,0.17356666666666667,0.061571974,0.08736666666666666,0.005127963,0.0,0.0105049405,0.34950873
EFNA1^EPHA4,EFNA1,EPHA4,0.16912669,0.21776666666666666,0.03981055,0.05868333333333333,0.005117491,0.0,0.010458126,0.38613284
TLN1^ITGB5,TLN1,ITGB5,0.21204461,0.26708333333333334,0.0461282,0.06678333333333333,0.0051092384,0.0,0.010524305,0.35899043
MELTF^TFRC,MELTF,TFRC,0.06488069,0.09153333333333333,0.16203164,0.21505,0.005101681,0.0,0.010200812,0.39162233
APP^AGER,APP,AGER,0.79693526,0.6800833333333334,0.07693995,0.10663333333333333,0.0050900723,0.0,0.010325179,0.40886506
LAMC2^DAG1,LAMC2,DAG1,0.08536476,0.12045,0.28329813,0.34446666666666664,0.005086619,0.0,0.010286657,0.3651867
MIF^ACKR3,MIF,ACKR3,0.64815784,0.5967833333333333,0.1831878,0.22913333333333333,0.005075733,0.0,0.010162013,0.5367308
WNT9A^FZD3_LRP6,WNT9A,FZD3_LRP6,0.03542145,0.05321666666666667,0.06335347,0.1047,0.0050736056,0.0,0.010482251,0.36544466
TNFSF10^RIPK1,TNFSF10,RIPK1,0.1217077,0.1506,0.0403461,0.060583333333333336,0.0050178333,0.0,0.010042187,0.57329106
EFNA3^EPHB6,EFNA3,EPHB6,0.035057705,0.05218333333333333,0.28175825,0.3389666666666667,0.004999263,0.0,0.010398656,0.37173736
EFNB1^EPHA4,EFNB1,EPHA4,0.14746608,0.19625,0.03981055,0.05868333333333333,0.004994688,0.0,0.010402308,0.3795948
ADAM10^TSPAN12,ADAM10,TSPAN12,0.059630286,0.08526666666666667,0.1450112,0.19385,0.0049685705,0.0,0.010061977,0.38010213
CD99^CD81,CD99,CD81,0.17824352,0.23028333333333334,0.45327023,0.48338333333333333,0.0049032923,0.0,0.009804542,0.3921874
FADD^TRAF2,FADD,TRAF2,0.12657057,0.17356666666666667,0.12528622,0.17156666666666667,0.0048822258,0.0,0.009779861,0.34889147
APOE^LRP4,APOE,LRP4,0.8531935,0.6709666666666667,0.06388529,0.08736666666666666,0.0048734173,0.0,0.009643018,0.5335866
SLIT2^GPC1,SLIT2,GPC1,0.0640315,0.0912,0.18997273,0.24468333333333334,0.004847359,0.0,0.009724027,0.36533624
PTPN6^EGFR,PTPN6,EGFR,0.1350798,0.18611666666666668,0.10819267,0.14703333333333332,0.004806071,0.0,0.009649643,0.37311038
APOE^SCARB1,APOE,SCARB1,0.8531935,0.6709666666666667,0.11624975,0.15298333333333333,0.0047588837,0.0,0.0095468415,0.6169119
SLIT2^APP,SLIT2,APP,0.0640315,0.0912,0.79693526,0.6800833333333334,0.0047261696,0.0,0.009498145,0.39998117
SLIT2^PLXNA1,SLIT2,PLXNA1,0.0640315,0.0912,0.06502906,0.09276666666666666,0.004717648,0.0,0.009662735,0.34942818
BMP8B^BMPR1A_BMPR2,BMP8B,BMPR1A_BMPR2,0.038029194,0.055433333333333334,0.055526096,0.09923333333333334,0.0046739755,0.0,0.009853662,0.39516518
CALM1^PTPRA,CALM1,PTPRA,0.09040737,0.1298,0.12446099,0.17055,0.004648129,0.0,0.009327129,0.34633178
SPTBN2^PTPRA,SPTBN2,PTPRA,0.061616965,0.09033333333333333,0.12446099,0.17055,0.004627644,0.0,0.009420767,0.34799325
COL4A5^SDC1,COL4A5,SDC1,0.20932344,0.26121666666666665,0.072289936,0.10475,0.004542115,0.0,0.009138637,0.39626384
